job_title,experience,location,vacancy_id,source_site,link,min_salary,max_salary,currency,employer,employer_page
Аналитик,Опыт от 1 года до 3 лет,"Москва, Динамо и еще 1 ",84044375,https://hh.ru,https://hh.ru/vacancy/84044375?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,80000.0,,RUB,Frank RG,https://hh.ru/employer/547916?hhtmFrom=vacancy_search_list
Аналитик маркетплейсов,Опыт от 1 года до 3 лет,"Москва, Щелковская",83108033,https://hh.ru,https://hh.ru/vacancy/83108033?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,100000.0,,RUB,ООО Высота,https://hh.ru/employer/4820268?hhtmFrom=vacancy_search_list
Аналитик,Без опыта,"Москва, Строгино",84550436,https://hh.ru,https://hh.ru/vacancy/84550436?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,45000.0,55000.0,RUB,ГБУ МО СтройЭксперт,https://hh.ru/employer/3794894?hhtmFrom=vacancy_search_list
Аналитик,Опыт от 1 года до 3 лет,"Москва, Бауманская",81917403,https://hh.ru,https://hh.ru/vacancy/81917403?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,,,,ООО Агентство Монител,https://hh.ru/employer/4612253?hhtmFrom=vacancy_search_list
Менеджер-аналитик на маркетплейсы (удаленно),Опыт от 1 года до 3 лет,Москва,84313806,https://hh.ru,https://hh.ru/vacancy/84313806?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,50000.0,60000.0,RUB,BLAGOVEDA,https://hh.ru/employer/9716429?hhtmFrom=vacancy_search_list
Junior бизнес-аналитик,Опыт от 1 года до 3 лет,Москва,84218768,https://hh.ru,https://hh.ru/vacancy/84218768?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,25000.0,30000.0,RUB,PELLER MEDIA,https://hh.ru/employer/1558866?hhtmFrom=vacancy_search_list
Аналитик,Опыт от 1 года до 3 лет,Москва,83814535,https://hh.ru,https://hh.ru/vacancy/83814535?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,,,,ООО Имплемента,https://hh.ru/employer/10088903?hhtmFrom=vacancy_search_list
"Маркетолог-аналитик, менеджер по маркетплейсам",Опыт от 1 года до 3 лет,"Москва, Бабушкинская и еще 3 ",79711623,https://hh.ru,https://hh.ru/vacancy/79711623?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,90000.0,130000.0,RUB,ООО МЕТИЗ ИМПЭКС,https://hh.ru/employer/3068904?hhtmFrom=vacancy_search_list
Бизнес-Ассистент (аналитик),Без опыта,Москва,81637938,https://hh.ru,https://hh.ru/vacancy/81637938?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,20000.0,,RUB,ИП Здоровый Константин Александрович,https://hh.ru/employer/5852623?hhtmFrom=vacancy_search_list
Финансовый аналитик,Опыт от 1 года до 3 лет,Москва,83382564,https://hh.ru,https://hh.ru/vacancy/83382564?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,40000.0,70000.0,RUB,ИП Балина Ирина Юрьевна,https://hh.ru/employer/10061033?hhtmFrom=vacancy_search_list
Аналитик отдела продаж,Опыт от 1 года до 3 лет,Москва,83284888,https://hh.ru,https://hh.ru/vacancy/83284888?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,,,,SOAK,https://hh.ru/employer/5637347?hhtmFrom=vacancy_search_list
Аналитик (маркетплейс),Опыт от 1 года до 3 лет,Москва,83675118,https://hh.ru,https://hh.ru/vacancy/83675118?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,60000.0,,RUB,ИП Алмазбеков Маратбек Алмазбекович,https://hh.ru/employer/9839637?hhtmFrom=vacancy_search_list
Маркетолог-аналитик,Опыт от 1 года до 3 лет,Москва,84020926,https://hh.ru,https://hh.ru/vacancy/84020926?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,100000.0,120000.0,RUB,ООО Юнипейдж,https://hh.ru/employer/2623887?hhtmFrom=vacancy_search_list
Аналитик,Опыт от 3 до 6 лет,Москва,84000012,https://hh.ru,https://hh.ru/vacancy/84000012?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,,120000.0,RUB,Группа компаний РБЕ (RBE Group),https://hh.ru/employer/834226?hhtmFrom=vacancy_search_list
Финансовый аналитик,Опыт от 3 до 6 лет,Москва,83613102,https://hh.ru,https://hh.ru/vacancy/83613102?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,,,,ИП Шемет Андрей Сергеевич,https://hh.ru/employer/2745388?hhtmFrom=vacancy_search_list
Аналитик маркетплейсов (WB),Опыт от 1 года до 3 лет,Москва,83926906,https://hh.ru,https://hh.ru/vacancy/83926906?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,42000.0,48000.0,RUB,UltraBalance,https://hh.ru/employer/4314757?hhtmFrom=vacancy_search_list
CRM аналитик / маркетолог-аналитик,Опыт от 3 до 6 лет,"Москва, Курская и еще 2 ",84068061,https://hh.ru,https://hh.ru/vacancy/84068061?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,110000.0,,RUB,Деснол Софт,https://hh.ru/employer/9974?hhtmFrom=vacancy_search_list
Младший аналитик ПО,Опыт от 1 года до 3 лет,Москва,81296641,https://hh.ru,https://hh.ru/vacancy/81296641?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,,,,Online Reservation System,https://hh.ru/employer/22081?hhtmFrom=vacancy_search_list
Бизнес-аналитик,Опыт от 1 года до 3 лет,"Москва, Текстильщики и еще 1 ",84026606,https://hh.ru,https://hh.ru/vacancy/84026606?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,,,,ООО Трейдинг-БТ,https://hh.ru/employer/3619869?hhtmFrom=vacancy_search_list
